Carnet,DPI,Nombre,Carrera,Password,Creditos,Edad,Correo 
201120144,8206427272148,auron play,ingenieria Electrica,6U4FG,225,24,auronplay.76@outlook.com
201319128,9178409471023,alma maria hernandez,ingenieria en ciencias y sistemas,TA8qO,68,19,almamariahernandez.25@undefined.org
201399789,3886912494500,auron play,ingenieria en ciencias y sistemas,9dly55o,160,18,auronplay_79@aol.com
201533703,6965391455628,alma maria hernandez,ingenieria en ciencias y sistemas,OsUrLR,38,20,almamariahernandez22@aol.org
201656328,6373464860539,lionel messi,ingenieria Electrica,mBa64,164,28,lionelmessi14@aol.com
201902339,6792992588632,auron play,ingenieria industrial,kUgSmK,144,27,auronplay60@yahoo.es
201303177,1307463626209,alma maria hernandez,ingenieria Mecanica industrial,Rbkry,242,28,almamariahernandez.89@outlook.com
201839076,4758657215271,lionel messi,ingenieria industrial,26Trof3,162,27,lionelmessi_80@undefined.org
201659906,6791418932925,alma maria hernandez,ingenieria industrial,8SHr5,248,26,almamariahernandez_14@undefined.com
201156919,8789457859124,alma maria hernandez,ingenieria Mecanica,zvxjn7G,34,19,almamariahernandez.22@hotmail.es
